column_a,australia,belgium,canada,switzerland,germany,denmark,spain,finland,france,uk,ireland,italy,japan,s_korea,luxembourg,netherlands,norway,new_zealand,sweden,us,s_africa,column_w,aggregate_pdi
1977:Q3,18.5,29.51,24.93,40.73,36.33,26.89,10.62,16.01,22.19,12.67,11.54,10.31,46.78,4.398903671293468,16.11177537451749,40.39,16.06,14.13,18.44,22.22,4.45,,24.29855294237897
1977:Q4,19.16,29.97,25.75,41.06,36.82,27.54,11.15,16.46,22.93,13.41,11.99,10.72,47.76,4.688800843229656,16.418784226659863,41.06,16.41,14.55,18.93,22.89,4.58,,24.954563165140705
1978:Q1,19.92,30.48,26.86,41.44,37.29,28.21,11.78,16.96,23.93,13.71,12.43,10.99,48.83,5.051665669668227,16.817533044826423,41.79,16.7,14.93,19.51,23.31,4.73,,25.522588920528175
1978:Q2,20.11,30.95,27.16,41.83,37.85,28.85,12.3,17.49,24.7,14.39,12.89,11.45,49.67,5.371624337489058,17.22831261378586,42.43,16.95,15.45,19.99,23.96,4.42,,26.124874513469468
1978:Q3,21.03,31.43,27.62,42.24,38.49,29.47,12.81,18.06,25.42,15.04,13.35,11.96,50.48,5.69699367767786,17.51132213370076,43.03,16.77,16.02,20.45,24.47,4.94,,26.700200041928763
1978:Q4,21.35,31.91,28.5,42.67,39.23,30.09,13.28,18.67,26.11,15.45,13.83,12.53,51.1,6.028273379944971,17.816072088421134,43.6,17.05,16.67,20.88,25.01,4.89,,27.255306096052465
1979:Q1,22.09,32.14,29.04,43.09,40.07,30.67,13.69,19.33,26.58,16.03,14.3,13.13,51.6,6.435837147285687,18.156123086377203,44.77,17.42,17.54,21.05,25.65,5.29,,27.85271964313048
1979:Q2,22.38,32.72,30.44,43.57,40.84,31.27,14.14,20.02,27.33,16.63,14.79,13.81,52.29,6.749558791541476,18.63667025387863,45.01,17.87,18.23,21.55,26.05,5.12,,28.397370769474087
1979:Q3,22.65,33.4,30.79,44.1,41.54,31.88,14.6,20.73,28.09,17.79,15.29,14.55,53.12,7.041072719013825,19.203272195531152,44.98,18.51,18.91,22.12,26.73,5.79,,29.075087800006568
1979:Q4,23.15,34.17,31.91,44.65,42.18,32.49,15.05,21.48,28.91,19.45,15.81,15.35,54.1,7.310887507597378,19.85232076174541,44.66,19.1,19.56,22.76,27.45,6.05,,29.844176658799622
1980:Q1,23.92,35.43,32.72,45.19,43.35,33,15.44,22.42,29.66,19.46,16.09,16.24,54.25,7.375962181517081,20.65407364799112,42.74,19.75,19.96,23.78,28.23,7.3,,30.451057040642397
1980:Q2,24.87,36.24,33.7,45.83,43.41,33.65,15.91,23.18,30.6,20.24,16.73,17.15,57.05,7.677849453486742,21.507635728406946,42.41,20.45,20.68,24.44,28.4,6.67,,31.135034458109864
1980:Q3,25.31,37,34.48,46.52,43.69,34.34,16.4,23.89,31.6,20.92,17.49,18.11,57.68,8.03091156670762,22.31752047457818,42.34,21.42,21.5,25.12,29.25,6.52,,31.838779227295113
1980:Q4,26.14,37.72,35.6,47.26,44.24,35.06,16.92,24.56,32.68,21.46,18.36,19.11,57.87,8.433551592108786,22.996474632402023,42.52,22.13,22.43,25.74,30.48,6.92,,32.69470958170664
1981:Q1,26.58,38.35,37.37,48.2,45.09,35.52,17.45,24.94,34.03,22.06,19.97,20.34,58.78,9.110158887489463,23.83599196678368,43.55,22.81,23.67,26.32,31.06,7.19,,33.47532312301445
1981:Q2,27.58,38.97,38.35,48.97,45.71,36.45,18.01,25.66,35.11,22.22,20.8,21.34,61.03,9.52002791428413,24.68094217151463,43.99,23.46,24.68,26.88,31.47,7.29,,34.23966882479161
1981:Q3,28.16,39.54,39.39,49.73,46.13,37.53,18.6,26.44,36.21,22.54,21.48,22.3,61.18,9.889510239366361,25.789261961180202,44.44,24.03,25.66,27.41,32.59,7.66,,35.01797193643823
1981:Q4,29.28,40.07,40.39,50.46,46.39,38.77,19.22,27.3,37.36,23.39,22.02,23.2,62.39,10.220156092258526,27.249409986521115,44.9,24.63,26.62,27.93,33.04,7.99,,35.688175358734085
1982:Q1,29.71,40.41,41.87,51.38,46.5,41.18,19.95,28.41,38.63,23.61,22.07,23.89,62.24,10.424123838388024,28.76172245165388,45.69,25.24,28.01,28.23,33.4,8.38,,36.112162672705544
1982:Q2,31.01,40.89,42.31,52.01,46.63,42.32,20.58,29.34,39.63,24.38,22.46,24.79,63.46,10.712114996027951,30.135412342729513,46.04,25.83,28.75,28.76,33.85,8.48,,36.733283608044715
1982:Q3,31.23,41.38,42.78,52.55,46.78,43.21,21.18,30.25,40.62,24.36,22.85,25.74,64.63,10.99499583184965,31.45203848527773,46.27,26.36,29.3,29.34,34.43,8.61,,37.32645826510402
1982:Q4,32.08,41.86,42.58,53,46.9,43.86,21.77,31.16,41.6,24.93,23.24,26.73,65.31,11.273620204860235,32.43138701999782,46.38,26.96,29.66,29.96,34.83,8.96,,37.808825774917224
1983:Q1,32.75,42.38,42.59,53.06,46.98,43.32,22.41,32.21,42.22,25.19,23.54,27.93,64.55,11.461876815100627,33.41268521140006,45.82,27.58,28.97,30.73,35.32,9.54,,38.09767071642001
1983:Q2,32.1,42.87,42.55,53.45,47.21,43.86,22.95,33.06,43,25.91,23.96,28.93,66.43,11.766128838024134,34.1332420747775,45.92,28.21,29.32,31.41,35.81,9.61,,38.73929503612023
1983:Q3,34.65,43.36,45.76,53.88,47.57,44.53,23.45,33.85,43.71,26.12,24.41,29.87,67.19,12.099096509848112,34.817220738278614,46.12,28.93,29.84,32.1,36.72,9.85,,39.57922318170857
1983:Q4,34.63,43.86,45.23,54.33,48.08,45.34,23.92,34.59,44.34,26.54,24.9,30.77,67.1,12.460131139157289,35.20833463460332,46.42,29.55,30.54,32.81,37.62,10.24,,40.13682568442638
1984:Q1,35.38,44.33,45.41,54.86,48.73,47.05,24.21,35.09,44.72,27.22,25.56,31.56,67.78,12.973390959254333,35.661167124358755,47.03,30.13,31.63,33.42,38.7,10,,40.91384123663213
1984:Q2,36.15,44.85,47.22,55.36,49.3,47.81,24.67,35.77,45.42,27.63,26.06,32.42,68.55,13.340539463898374,36.07139625353651,47.45,30.7,32.58,34.16,39.64,11.71,,41.7247102013808
1984:Q3,36.17,45.39,48.04,55.89,49.78,48.41,25.15,36.48,46.07,28.09,26.53,33.32,68.7,13.68923424631662,36.34949638850147,47.88,31.11,33.62,34.93,40.46,11.71,,42.329145161828016
1984:Q4,36.99,45.96,48.81,56.43,50.19,48.83,25.66,37.2,46.85,29.32,26.97,34.24,71.28,14.018942210837023,36.80596552188563,48.34,31.71,34.77,35.77,40.98,11.65,,43.183202389966404
1985:Q1,37.99,46.52,49.25,57.02,50.54,48.26,26.04,38.04,47.76,29.51,27.43,35.35,70.25,14.126740286032934,37.1483143438792,48.96,32.36,36.02,36.74,41.23,12.46,,43.419086603712124
1985:Q2,38.18,47.13,51.09,57.58,50.93,48.67,26.65,38.75,48.46,30.53,27.82,36.24,70.91,14.499866166591039,37.68349019090398,49.39,33.04,37.34,37.59,42.26,12.65,,44.25466721193593
1985:Q3,38.78,47.75,50.84,58.15,51.37,49.23,27.34,39.43,49.04,30.64,28.17,37.06,72.83,14.932130652850004,38.37310635577941,49.79,33.89,38.74,38.43,42.15,12.38,,44.656435430217996
1985:Q4,40.14,48.4,51.51,58.73,51.83,49.95,28.11,40.08,49.67,31.55,28.49,37.83,73.53,15.42299026878643,39.04474226795755,50.15,34.59,40.28,39.24,42.8,12.97,,45.33101732627951
1986:Q1,40.73,49.41,52.08,59.24,52.33,51.59,29.26,40.45,50.27,31.95,28.59,38.33,73.2,16.051078207450885,39.85688803385264,50.52,35.28,41.68,40.18,43.41,13.55,,45.82268563155001
1986:Q2,41.11,49.97,52.72,59.86,52.8,52.31,30.06,41.15,50.84,33.25,28.92,39.06,73.45,16.62500884740821,40.60477301514543,50.78,35.95,43.48,40.93,43.81,13.96,,46.3371000867848
1986:Q3,41.55,50.41,52.87,60.51,53.26,52.87,30.82,41.94,51.38,33.35,29.29,39.81,73.46,17.223935543714678,40.921011834743055,50.97,36.57,45.44,41.65,44.23,14.46,,46.7342645270644
1986:Q4,42.47,50.74,53.47,61.2,53.68,53.29,31.55,42.79,51.83,33.83,29.7,40.56,73.21,17.847434711101233,41.13067002189246,51.09,37.21,47.51,42.3,44.45,15.07,,47.05939437877993
1987:Q1,42.32,50.46,54.69,61.9,54.07,52.85,32.08,44.04,51.99,33.79,30.3,41.29,73.23,18.495758243197727,41.13475511193893,50.96,37.84,50.63,42.7,45.18,16.79,,47.56538714623309
1987:Q2,43.5,50.75,54.98,62.66,54.55,53.24,32.79,44.91,52.42,34.76,30.74,42.1,74.1,19.16924886326785,41.319654683543924,51.04,38.47,52.58,43.33,44.94,17.22,,47.873134499233004
1987:Q3,44.71,51.12,56.05,63.46,55.1,53.76,33.51,45.75,53.05,35.24,31.16,42.96,74.94,19.868346719376277,41.49619846640684,51.15,39.08,54.32,43.97,46.08,16.49,,48.74004571513731
1987:Q4,44.38,51.57,56.82,64.3,55.72,54.42,34.25,46.54,53.75,35.79,31.57,43.87,75.41,20.59213679797647,42.0250027899779,51.27,39.69,55.84,44.63,47.03,17.48,,49.48175597743992
1988:Q1,45.89,52,57.08,65.18,56.42,55.53,34.94,46.66,54.53,37.08,31.74,44.81,77.01,21.415900961326198,42.53339142229287,50.97,40.3,56.5,45.25,47.92,18.38,,50.40744919129074
1988:Q2,46.74,52.64,59.06,66.1,57.13,56.31,35.74,47.58,55.32,38.32,32.22,45.79,77.77,22.158406202037384,43.36179764649652,51.32,40.91,57.74,46.02,48.77,19.11,,51.2834316826052
1988:Q3,46.78,53.4,61,67.05,57.85,57.09,36.6,48.7,56.23,38.86,32.77,46.83,79.4,22.89509882754797,44.25892347829872,51.86,41.49,58.85,46.82,49.62,21.45,,52.244679811410165
1988:Q4,48.48,54.28,62.44,68.05,58.56,57.86,37.5,50.01,57.15,39.66,33.41,47.9,79.28,23.6278589687898,45.549216437147045,52.59,42.11,59.92,47.68,50.44,21.07,,52.98605643167596
1989:Q1,50.19,55.43,63.36,69.08,59.28,58.92,38.38,52.26,58.53,40.75,34.5,49.14,81.68,24.131792233821766,46.96428324379971,53.82,42.75,60.81,48.24,51.51,21.84,,54.20087857855148
1989:Q2,51.66,56.5,64.62,70.15,60.12,59.57,39.4,53.65,59.58,42.11,35.15,50.25,81.92,24.94123134396677,48.28206143453483,54.83,43.4,61.67,49.32,51.85,22.24,,54.86327349796773
1989:Q3,51.86,57.62,64.47,71.25,61.08,60.09,40.5,54.92,60.45,44.17,35.72,51.35,83.19,25.8284590440239,49.760860817926336,55.9,44.07,62.45,50.6,52.34,23.96,,55.70035117584613
1989:Q4,54.05,58.81,65.35,72.39,62.18,60.49,41.66,56.06,61.37,44.4,36.23,52.44,86.12,26.791078496579033,51.01723988258924,57.04,44.75,63.04,52.09,53.05,24.17,,56.80135161297689
1990:Q1,55.17,60.35,67.15,73.7,63.41,60.22,43.14,56.79,62.24,47.38,36.49,53.37,86.86,27.662452308102235,52.521566228349386,59.1,45.44,63.49,53.99,53.84,24.45,,57.871466421668984
1990:Q2,55.77,61.55,65.47,74.85,64.56,60.59,44.36,57.82,63.17,47.6,36.91,54.51,87.82,28.852111996652756,53.897632412823455,60.03,46.14,63.93,55.77,54.66,26.25,,58.677351745433505
1990:Q3,55.59,62.69,67.04,76,65.61,61.06,45.55,58.84,63.91,48.31,37.33,55.7,90.1,30.19422748237052,55.50362610762916,60.69,46.85,64.19,57.67,55.25,27.47,,59.664125196657416
1990:Q4,56.96,63.77,68.02,77.12,66.6,61.62,46.71,59.84,64.77,49.69,37.74,56.95,93.16,31.686171120822337,57.51254727493399,61.07,47.55,64.44,59.68,55.47,27.87,,60.64726346886915
1991:Q1,56.18,64.74,68.85,78.51,67.52,62.65,48,61.31,65.4,50.34,38.15,58.69,93.97,34.0497473775075,59.25165422092367,60.06,48.27,64.79,62.86,55.89,28.68,,61.372925962703206
1991:Q2,56.64,65.73,67.77,79.48,69.86,63.26,49.05,62.13,66.1,52.1,38.54,59.88,93.93,35.53969758807437,60.83325999156399,60.35,49,64.69,64.67,56.52,29.59,,62.15272071816474
1991:Q3,57.39,66.69,68.52,80.32,69.28,63.82,50.02,62.77,66.86,54.51,38.92,60.94,96.14,36.882600675316596,62.12636119415671,60.82,49.77,64.52,66.18,56.92,30.16,,62.98315911833519
1991:Q4,57.08,67.61,68.71,81.03,72.08,64.33,50.89,63.22,67.55,55.05,39.28,61.9,97.23,38.080085164677904,62.682617596752216,61.48,50.5,64.17,67.38,57.61,30.31,,63.87218054647827
1992:Q1,58.28,68.6,68.89,81.46,73.44,64.98,51.5,63.45,68.38,56.26,39.36,62.85,98.68,38.797516620231434,63.3516876222181,63.31,51.23,63.12,67.74,58.81,32.98,,64.99273958838724
1992:Q2,58.03,69.41,69.42,81.98,73.24,65.31,52.28,63.56,68.91,57.15,39.8,63.51,96.22,39.84864261706367,63.778628567239345,63.92,51.96,62.69,68.53,59.52,33.68,,65.20919260168597
1992:Q3,59.37,70.15,70.94,82.45,73.84,65.5,53.04,63.53,69.44,57.44,40.33,63.98,96.45,40.89629735475787,64.60111550208337,64.32,52.91,62.53,69.22,60.05,34.46,,65.77115198568518
1992:Q4,59.35,70.81,69.83,82.84,76.66,65.57,53.79,63.33,69.89,58.32,40.96,64.26,98.15,41.939460074505234,66.05699912373461,64.51,53.53,62.55,69.81,61.11,34.97,,66.78753087098879
1993:Q1,59.46,71.12,70.48,83.06,75.27,64.79,54.74,62.78,70.17,59.02,42.25,63.54,97.41,42.50803424121283,67.25508453670791,63.53,54.02,62.94,70.13,60.34,35.01,,66.3759504344106
1993:Q2,59.98,71.74,73.17,83.39,76.31,64.89,55.38,62.35,70.49,61.04,42.82,63.79,98.11,43.73035447084373,68.5716222651848,63.67,54.41,63.2,70.81,61.47,36.47,,67.38030764257694
1993:Q3,59.59,72.4,70.98,83.7,77.4,65.14,55.92,61.86,70.85,61.89,43.25,64.21,98.48,45.1312067425083,68.99597983541032,63.99,54.21,63.36,71.03,61.66,36.59,,67.68527854849103
1993:Q4,60.54,73.09,70.69,84,78.27,65.55,56.36,61.3,71.21,62.7,43.54,64.78,98.1,46.70868686229409,68.8256466533938,64.48,54.59,63.8,70.15,62.75,37.53,,68.35767431349258
1994:Q1,61.89,73.48,71.21,84.12,79.2,65.99,55.91,59.32,71.11,62.27,42.82,65.71,97.59,49.11952538495123,68.90765232375973,65.51,55.08,64.03,70.47,62.59,38.14,,68.4644299399537
1994:Q2,63.2,74.39,71.56,84.46,78.3,66.76,56.47,59.14,71.52,62.38,43.19,66.52,101.62,50.77878384211709,68.93518655012927,66.19,55.63,64.61,70.27,63.84,38.5,,69.63047161083631
1994:Q3,62.93,75.47,71.5,84.85,79.15,67.73,57.24,59.43,71.96,63.71,43.77,67.41,99.1,52.346214817135426,69.87886167891826,66.91,56.49,65.25,71.75,64.66,39.62,,70.02282771514841
1994:Q4,64.04,76.72,72.19,85.3,81.05,68.9,58.24,60.2,72.5,63.92,44.55,68.39,99.73,53.818925685020915,71.97743865178131,67.65,57.14,66.07,73.75,65.67,40.81,,70.98444216410377
1995:Q1,64.87,79.47,72.43,86.21,80.65,71.34,60.29,63.3,73.77,65.43,46.27,69.62,100.02,54.77283463283341,73.96730359048104,68.45,57.8,67.47,73.93,66.35,41.98,,71.75348563477736
1995:Q2,65.08,80.55,72.76,86.6,81.55,72.48,61.37,64.22,74.32,66.07,47.17,70.68,100.77,56.24634419060238,75.8822870011965,69.22,58.44,68.45,73.75,66.59,42.58,,72.3128791108335
1995:Q3,66.96,81.28,72.61,86.89,81.81,73.4,62.34,64.83,74.83,66.78,47.99,71.75,99.94,57.814875266190086,77.33862834034262,70,58.98,69.35,73.5,67.2,44.75,,72.8054099381404
1995:Q4,67.79,81.65,73.07,87.08,81.73,74.09,63.18,65.17,75.24,68.11,48.73,72.83,99.67,59.47462911551698,77.74722085907142,70.77,59.7,70.29,74.08,67.72,44.03,,73.29777620338255
1996:Q1,68.75,80.52,72.79,86.6,82.56,74.06,63.81,63.8,75.36,69.33,48.87,74.34,98.79,61.885093402094434,77.96949160950027,71.35,60.46,71.16,74.24,68.7,45.11,,73.94197670718063
1996:Q2,69.51,80.64,72.75,86.8,82.41,74.49,64.45,64.08,75.66,70.98,49.65,75.26,99.79,63.44537763973704,78.42286805938424,72.21,61.25,72.03,74.81,69.7,48.04,,74.79844647828246
1996:Q3,69.69,80.86,73.02,87.11,83.1,74.91,65.01,64.62,76.08,71.43,50.53,76.02,100.05,64.81433732408473,78.87543302288748,73.16,61.99,72.98,73.93,70.41,47.95,,75.37874881956917
1996:Q4,70.48,81.19,73.91,87.53,82.92,75.3,65.48,65.41,76.54,71.4,51.53,76.61,101.22,65.9910530648954,79.66263782778617,74.2,62.93,73.86,72.98,71.08,49.26,,76.00114703834899
1997:Q1,70.86,81.76,74.06,88.41,82.95,75.33,65.41,67.28,76.75,73.24,52.56,76.81,100.78,67.12393925580133,80.85723193311637,75.62,63.98,75.35,73.36,71.77,51.49,,76.51584770285517
1997:Q2,71.87,82.24,74.67,88.94,83.83,75.81,65.9,68.25,77.26,74.56,53.81,77.15,101.11,67.90369682059797,81.86824827541733,76.71,65.12,76.06,74.37,72.33,52.43,,77.15022970277614
1997:Q3,72.15,82.76,75.91,89.45,84.04,76.39,66.5,69.15,77.63,75.13,55.21,77.43,101.71,68.48535227947282,83.04122416026304,77.77,66.97,76.54,75,73.16,51.91,,77.80267169792553
1997:Q4,72.07,83.34,75.92,89.94,84.86,77.08,67.2,69.96,78.26,76,56.74,77.63,102.27,68.86524994784153,84.32348127033067,78.79,68.04,76.93,75.28,74.24,53.15,,78.58674094097204
1998:Q1,71.53,84.11,76.55,90.25,84.71,78.8,68,70.44,79.14,77.18,58.87,77.3,102.36,68.0992444055421,85.85186454430082,79.84,68.97,75.82,75.17,75.83,54.36,,79.4221968497236
1998:Q2,71.84,84.72,76.89,90.77,84.49,79.34,68.91,71.02,79.78,76.94,60.49,77.42,101.43,68.43981003729517,86.94462288886686,80.77,69.76,76.22,75.2,76.88,55.49,,79.87280169861297
1998:Q3,73.54,85.32,77.91,91.34,85.49,79.62,69.92,71.97,80.29,78.57,62.07,77.78,100.64,68.93331859160834,87.644865467675,81.64,69.77,76.91,76.61,77.7,55.5,,80.52424463031501
1998:Q4,71.99,85.9,79.06,91.96,86.31,79.65,71.03,73.02,80.9,78.48,63.6,78.23,101.77,69.58703589294979,87.94358166250105,82.43,70.51,77.97,77.63,78.28,55.72,,81.15198940161476
1999:Q1,73.29,86.08,79.12,92.71,86.34,78.26,72.54,73.87,80.72,77.73,64.87,79.02,100.77,70.85264065872815,88.07333579609652,82.75,71.32,78.93,78.06,78.81,57.44,,81.41260317669406
1999:Q2,75.52,85.69,80.6,93.39,86.35,79.44,73.63,75.76,81.07,81.58,66.41,79.33,100.94,71.6331576926368,88.0916059313624,83.6,72.27,80.3,79.08,79.21,58.97,,82.12670171134725
1999:Q3,76.17,86.92,81.24,94.08,87.1,80.47,74.74,78.02,81.25,80.03,67.99,80.64,100.42,72.48936353349168,88.16299936799271,84.55,74.09,81.88,79.76,79.86,59.29,,82.56766958304733
1999:Q4,77.32,87.67,82.28,94.78,88.93,81.45,75.95,79.27,82.52,82.19,69.59,80.5,100.25,73.2518320871424,88.60376942953219,85.61,74.95,83.38,81.09,81.33,60.54,,83.71701090904834
2000:Q1,78.9,88.37,83.52,95.6,88.63,81.52,77.29,78.76,83.58,83.37,71.41,79.9,100.03,73.89544299654068,88.36203095218798,86.44,75.62,84.24,82.51,82.67,63.07,,84.55500283540039
2000:Q2,77.62,90.05,84.47,96.29,88.72,82.53,77.34,80.84,84.69,83.11,73.02,82.11,99.49,74.56198214823061,88.3214876737166,88.12,75.99,84.3,83.45,83.61,64.87,,85.1861230058081
2000:Q3,84.05,91.87,85.69,96.95,89.06,82.64,79.74,82.12,85.31,85.37,74.71,83.6,98.31,75.32265977623634,88.24554264755542,89.91,74.85,83.73,84.42,84.68,65.99,,86.1447522619107
2000:Q4,81.83,92.75,87.9,97.58,88.96,83.91,80.43,82.1,88.33,86.38,76.26,85.57,98.33,76.16244116475126,87.58465762506093,91.85,75.69,83.26,85.75,85.04,66.62,,86.80830831547163
2001:Q1,82.71,93.76,88.51,98.74,91.81,85.15,80.88,82.7,87.86,88.63,78.07,87.25,98.95,77.02877099908677,86.97794433851455,95.2,76.72,83.17,88.43,86.09,68.51,,87.98200493840307
2001:Q2,85.38,95.07,86.38,99.09,92.31,86.41,81.95,85.31,88.46,88.1,79.7,87.14,98.91,77.96005043595186,86.55592673043044,97.03,77.94,83.85,90.45,86,69.12,,88.14746716508257
2001:Q3,85.33,95.22,87.52,99.17,92.35,86.28,84.02,86.39,90.08,89.34,81.09,87.4,98.86,78.99178245393394,86.84935691568724,98.41,80.56,84.85,91.68,87.89,70.54,,89.33978000595022
2001:Q4,88.24,95.23,88.68,99.01,92.29,87.38,84.51,85.71,90.89,89.41,82.55,87.74,98.71,80.09255080321495,87.82097084605367,99.19,82.31,85.79,92.62,86.66,71.79,,89.12032604198512
2002:Q1,88.49,95.47,90.29,97.94,92.52,88.57,84.94,85.98,91.48,89.63,83.69,89.64,98.86,81.0428338799892,89.17322511933527,98.77,83.65,86.5,93.32,88.98,74.65,,90.411308502386
2002:Q2,84.73,95.77,89.59,97.54,92.76,89.95,86.44,87.57,92.19,90.8,85.68,91.42,99,82.41112074215053,90.12193992005021,99.1,85.28,86.38,94.29,89.93,76.67,,91.11385563811535
2002:Q3,87.19,94.86,90.38,97.15,93.61,90.19,85.93,89.98,92.56,90.64,86.77,90.85,98.97,83.83095562779715,90.25587357494231,99.27,86.43,86.13,95.03,89.78,78.42,,91.25969141248767
2002:Q4,87.46,95.04,91.29,96.77,94.46,91.56,87.76,90.57,94.66,91.58,86.45,91.12,98.97,85.3315397807689,89.60162401253237,99.25,87.83,85.73,95.7,90.18,80.48,,91.89566092601893
2003:Q1,88.76,95.41,92.08,95.84,95.75,92.08,89.07,90.54,93.39,92.94,87.81,92.65,98.89,87.09898362097165,88.90717767979748,98.43,88.89,85.9,95.78,90.49,81.41,,92.38243850092546
2003:Q2,90.13,96.01,93.25,95.72,95.44,92.96,90.42,91.65,94.02,94.53,90.02,93.23,98.83,88.77768861116841,88.39681888229336,98.41,90.41,86.69,95.89,91.64,82.55,,93.21920146417337
2003:Q3,91.59,96.15,93.2,95.82,95.51,93.4,90.77,94.82,94.71,94.07,89.67,94.43,98.91,90.44584477859449,88.7093300257287,98.53,91.54,88.1,96.72,93.21,83.57,,94.09997215944938
2003:Q4,92.92,96.19,93.44,96.16,96.09,94.13,92.48,96.26,95.58,95.49,89.01,94.62,99.04,92.05789776846625,89.89260330873334,98.79,93.03,89.9,96.88,93.9,84.54,,94.79749245004585
2004:Q1,94.59,96.24,95.04,97.39,97.12,94.9,94.26,96.25,96.38,95.7,91.29,97.08,99.16,94.15864446676014,91.41329579160119,99.29,93.42,91.69,97.03,95.02,88.59,,95.87244907215232
2004:Q2,97.75,97,96.86,97.93,97.26,96.09,93.93,97.73,97.85,97.43,93.81,97.87,99.07,95.75004958327312,92.85592124531759,99.63,94.77,93.73,96.67,96.39,90.72,,96.92915266770166
2004:Q3,96.86,98.45,97.11,98.44,97.79,97.15,94.72,98.3,98.47,97.7,95.4,98.86,99.17,97.08347981597548,94.63949401506073,99.96,95.45,95.3,98.32,97.33,92.64,,97.62977977096821
2004:Q4,98.24,99.27,97.92,98.93,98.97,98.43,95.98,98.53,98.77,97.05,94.44,98.33,99.45,98.20206919966272,96.38480685054046,100.36,97.37,96.89,98.86,99.21,94.87,,98.69142407582343
2005:Q1,98.18,99.21,97.91,98.9,98.65,99.61,97.86,97.48,99.08,98.28,97.95,98.64,99.64,98.71055204849877,98.10788744499085,101.1,98.56,98.1,98.98,98.25,96.88,,98.5743934264593
2005:Q2,100.02,99.02,99.14,99.52,99.95,100.21,99.97,99.33,99.53,99.02,101.39,98.66,99.91,99.53553325660722,99.43719533415232,100.01,100.91,99.42,99.36,99.26,98.44,,99.44684001347864
2005:Q3,100.96,100.25,101.13,100.31,100.69,99.64,101.05,101.32,100.17,100.7,101,99.73,100.12,100.42873306466926,100.82341435835099,99.67,100.2,100.71,100.15,100.67,101.15,,100.52694022128529
2005:Q4,100.84,101.52,101.82,101.27,100.71,100.54,101.13,101.87,101.22,102.01,99.66,102.98,100.33,101.3251816302248,101.63150286250584,99.23,100.34,101.77,101.51,101.81,103.54,,101.44970351294666
2006:Q1,102.22,103.39,106.04,102.71,101.76,102.16,102.31,101.62,101.66,102.66,102.59,101.92,100.5,102.0181454995352,102.68832801306219,100.14,97.46,102.77,102.09,103.82,105.07,,102.71256395297908
2006:Q2,104.26,104.3,104.45,103.86,102.38,103.86,104.48,103.19,103.24,103.86,105.67,102.95,100.87,102.93268090820818,103.40056885972076,101.59,96.52,103.84,103.02,105.2,108.34,,103.81477429387093
2006:Q3,107.86,104.21,106.6,105.04,102.9,102.33,106.15,105.06,104.13,104.34,104.95,103.57,101.3,103.84686228823959,104.52474620270335,102.32,97.04,105.41,104.56,106.16,112.14,,104.75920125128418
2006:Q4,111.36,105.59,107.99,106.26,103.77,103.13,106.64,106.25,105.78,104.46,101.85,105,101.65,104.8343271765329,105.76503411382262,103.6,97.99,107.1,106.52,107.24,114.77,,105.77924476328319
