,acumulado,dataApuracao,dataProximoConcurso,dezenasSorteadasOrdemSorteio,indicadorConcursoEspecial,listaDezenas,listaMunicipioUFGanhadores,listaRateioPremio,listaResultadoEquipeEsportiva,localSorteio,nomeMunicipioUFSorteio,numero,numeroConcursoAnterior,numeroConcursoFinal_0_5,numeroConcursoProximo,numeroJogo,observacao,premiacaoContingencia,tipoJogo,tipoPublicacao,ultimoConcurso,valorArrecadado,valorAcumuladoConcurso_0_5,valorAcumuladoConcursoEspecial,valorAcumuladoProximoConcurso,valorEstimadoProximoConcurso,valorSaldoReservaGarantidora,valorTotalPremioFaixaUm,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6
0,True,13/05/1996,,"['25', '04', '18', '57', '21', '38']",1,"['04', '18', '21', '25', '38', '57']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 251, 'valorPremio': 6638.45}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 12590, 'valorPremio': 132.35}]",,Auditório,"Brasília, DF",10,9,15,11,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,13334769.81,0.0,0.0,0.0,04,18,21,25,38,57
0,False,20/05/1996,,"['25', '15', '58', '37', '59', '38']",1,"['15', '25', '37', '38', '58', '59']","[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'posicao': 1, 'serie': '', 'uf': 'RJ'}]","[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 1, 'valorPremio': 15591365.07}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 148, 'valorPremio': 12706.05}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 9442, 'valorPremio': 199.16}]",,Auditório,"Brasília, DF",11,10,15,12,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,25,37,38,58,59
0,True,27/05/1996,,"['20', '27', '43', '16', '19', '04']",1,"['04', '16', '19', '20', '27', '43']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 108, 'valorPremio': 6791.17}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 6454, 'valorPremio': 113.64}]",,Auditório,"Brasília, DF",12,11,15,13,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,880136.24,0.0,0.0,0.0,04,16,19,20,27,43
0,True,03/06/1996,,"['47', '32', '50', '54', '18', '56']",1,"['18', '32', '47', '50', '54', '56']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 43, 'valorPremio': 20543.98}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 2934, 'valorPremio': 301.09}]",,Auditório,"Brasília, DF",13,12,15,14,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,1940205.35,0.0,0.0,0.0,18,32,47,50,54,56
0,True,10/06/1996,,"['16', '02', '27', '47', '23', '53']",1,"['02', '16', '23', '27', '47', '53']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 85, 'valorPremio': 10458.19}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 5323, 'valorPremio': 167.0}]",,Auditório,"Brasília, DF",14,13,15,15,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,3006941.32,0.0,0.0,0.0,02,16,23,27,47,53
0,True,17/06/1996,,"['60', '12', '33', '52', '35', '51']",1,"['12', '33', '35', '51', '52', '60']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 57, 'valorPremio': 17919.89}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 3931, 'valorPremio': 259.84}]",,Auditório,"Brasília, DF",15,14,20,16,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,4232661.35,0.0,0.0,0.0,12,33,35,51,52,60
0,True,24/06/1996,,"['60', '58', '49', '32', '20', '34']",1,"['20', '32', '34', '49', '58', '60']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 31, 'valorPremio': 33307.13}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 3250, 'valorPremio': 317.7}]",,Auditório,"Brasília, DF",16,15,20,17,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,5471686.62,0.0,0.0,0.0,20,32,34,49,58,60
0,False,01/07/1996,,"['10', '20', '06', '19', '51', '13']",1,"['06', '10', '13', '19', '20', '51']","[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'posicao': 1, 'serie': '', 'uf': 'SP'}]","[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 1, 'valorPremio': 6789869.08}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 144, 'valorPremio': 7628.37}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 9376, 'valorPremio': 117.16}]",,Auditório,"Brasília, DF",17,16,20,18,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06,10,13,19,20,51
0,True,08/07/1996,,"['37', '36', '56', '27', '42', '23']",1,"['23', '27', '36', '37', '42', '56']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 52, 'valorPremio': 13763.52}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 4484, 'valorPremio': 159.61}]",,Auditório,"Brasília, DF",18,17,20,19,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,858843.48,0.0,0.0,0.0,23,27,36,37,42,56
0,True,15/07/1996,,"['05', '25', '12', '10', '60', '24']",1,"['05', '10', '12', '24', '25', '60']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 159, 'valorPremio': 5380.14}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 9250, 'valorPremio': 92.48}]",,Auditório,"Brasília, DF",19,18,20,20,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,10506266.73,0.0,0.0,0.0,05,10,12,24,25,60
0,True,22/07/1996,,"['25', '28', '30', '33', '51', '11']",1,"['11', '25', '28', '30', '33', '51']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 72, 'valorPremio': 15486.97}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 5728, 'valorPremio': 194.67}]",,Auditório,"BRASÍLIA, DF",20,19,25,21,2,,,MEGA_SENA,3,True,0.0,892049.4,0.0,11844340.83,0.0,0.0,0.0,11,25,28,30,33,51
0,True,29/07/1996,,"['49', '46', '06', '53', '33', '36']",1,"['06', '33', '36', '46', '49', '53']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 63, 'valorPremio': 17694.19}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 5030, 'valorPremio': 221.62}]",,Caminhão da Sorte,"Bauru, SP",21,20,25,22,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,13182021.44,0.0,0.0,0.0,06,33,36,46,49,53
0,True,05/08/1996,,"['09', '38', '56', '01', '31', '46']",1,"['01', '09', '31', '38', '46', '56']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 47, 'valorPremio': 27212.9}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 4865, 'valorPremio': 262.9}]",,Auditório,"Brasília, DF",22,21,25,23,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,14716828.84,0.0,0.0,0.0,01,09,31,38,46,56
0,True,12/08/1996,,"['17', '52', '51', '59', '39', '37']",1,"['17', '37', '39', '51', '52', '59']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 74, 'valorPremio': 20198.46}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 4897, 'valorPremio': 305.23}]",,Auditório,"Brasília, DF",23,22,25,24,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,16510452.0,0.0,0.0,0.0,17,37,39,51,52,59
0,False,19/08/1996,,"['01', '08', '14', '28', '33', '43']",1,"['01', '08', '14', '28', '33', '43']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 1, 'valorPremio': 18661679.61}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 227, 'valorPremio': 7897.31}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 13486, 'valorPremio': 132.93}]",,,,24,23,25,25,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,08,14,28,33,43
0,True,25/08/1996,,"['56', '50', '55', '54', '24', '43']",1,"['24', '43', '50', '54', '55', '56']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 28, 'valorPremio': 26338.5}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 2741, 'valorPremio': 269.06}]",,Caminhão da Sorte,"Barretos, SP",25,24,30,26,2,,,MEGA_SENA,3,True,0.0,6026924.24,0.0,884973.5,0.0,0.0,0.0,24,43,50,54,55,56
0,True,01/09/1996,,"['50', '53', '57', '10', '58', '22']",1,"['10', '22', '50', '53', '57', '58']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 16, 'valorPremio': 52473.74}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 1823, 'valorPremio': 460.55}]",,Caminhão da Sorte,"Ribeirão Preto, SP",26,25,30,27,2,,,MEGA_SENA,3,True,0.0,6698588.11,0.0,1892469.3,0.0,0.0,0.0,10,22,50,53,57,58
0,True,08/09/1996,,"['44', '33', '13', '51', '17', '20']",1,"['13', '17', '20', '33', '44', '51']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 99, 'valorPremio': 9306.24}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 6466, 'valorPremio': 142.49}]",,Auditório,"Brasília, DF",27,26,30,28,2,,,MEGA_SENA,3,True,0.0,7435642.36,0.0,2998050.68,0.0,0.0,0.0,13,17,20,33,44,51
0,True,15/09/1996,,"['60', '06', '22', '03', '24', '54']",1,"['03', '06', '22', '24', '54', '60']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 50, 'valorPremio': 19749.22}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 4895, 'valorPremio': 201.73}]",,Auditório,"Brasília, DF",28,27,30,29,2,,,MEGA_SENA,3,True,0.0,8225610.89,0.0,4183003.48,0.0,0.0,0.0,03,06,22,24,54,60
0,False,22/09/1996,,"['14', '56', '58', '08', '43', '03']",1,"['03', '08', '14', '43', '56', '58']","[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'posicao': 1, 'serie': '', 'uf': 'RS'}]","[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 1, 'valorPremio': 5401793.6}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 44, 'valorPremio': 23083.15}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 5248, 'valorPremio': 193.53}]",,Auditório,"Brasília, DF",29,28,30,30,2,,,MEGA_SENA,3,True,0.0,9038137.63,0.0,0.0,0.0,0.0,0.0,03,08,14,43,56,58
0,True,29/09/1996,,"['38', '50', '07', '29', '15', '14']",1,"['07', '14', '15', '29', '38', '50']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 80, 'valorPremio': 11347.74}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 5885, 'valorPremio': 154.26}]",,Auditório,"Brasília, DF",30,29,35,31,2,,,MEGA_SENA,3,True,0.0,726255.44,0.0,10127520.8,0.0,0.0,0.0,07,14,15,29,38,50
0,True,06/10/1996,,"['56', '19', '28', '48', '17', '45']",1,"['17', '19', '28', '45', '48', '56']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 103, 'valorPremio': 8793.04}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 5680, 'valorPremio': 159.45}]",,Auditório,"Brasília, DF",31,30,35,32,2,,,MEGA_SENA,3,True,0.0,1450801.88,0.0,11214340.46,0.0,0.0,0.0,17,19,28,45,48,56
0,True,13/10/1996,,"['43', '33', '14', '36', '05', '44']",1,"['05', '14', '33', '36', '43', '44']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 96, 'valorPremio': 11430.91}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 6876, 'valorPremio': 159.6}]",,Auditório,"Brasília, DF",32,31,35,33,2,,,MEGA_SENA,3,True,0.0,2328696.12,0.0,12531181.83,0.0,0.0,0.0,05,14,33,36,43,44
0,False,20/10/1996,,"['05', '33', '49', '17', '42', '39']",1,"['05', '17', '33', '39', '42', '49']","[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'posicao': 1, 'serie': '', 'uf': 'MG'}]","[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 1, 'valorPremio': 13997410.74}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 128, 'valorPremio': 9545.76}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 8722, 'valorPremio': 140.09}]",,Auditório,"Brasília, DF",33,32,35,34,2,,,MEGA_SENA,3,True,0.0,3306182.07,0.0,0.0,0.0,0.0,0.0,05,17,33,39,42,49
0,True,27/10/1996,,"['15', '13', '57', '53', '40', '17']",1,"['13', '15', '17', '40', '53', '57']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 51, 'valorPremio': 13604.06}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 2627, 'valorPremio': 264.11}]",,Auditório,"Brasília, DF",34,33,35,35,2,,,MEGA_SENA,3,True,0.0,3861227.54,0.0,832568.2,0.0,0.0,0.0,13,15,17,40,53,57
0,True,03/11/1996,,"['21', '57', '16', '23', '54', '04']",1,"['04', '16', '21', '23', '54', '57']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 39, 'valorPremio': 20051.18}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 3576, 'valorPremio': 218.68}]",,Auditório,"Brasília, DF",35,34,40,36,2,,,MEGA_SENA,3,True,0.0,4486824.4,0.0,1770963.49,0.0,0.0,0.0,04,16,21,23,54,57
0,True,10/11/1996,,"['13', '03', '51', '17', '29', '25']",1,"['03', '13', '17', '25', '29', '51']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 143, 'valorPremio': 6238.12}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 8548, 'valorPremio': 104.36}]",,Caminhão da Sorte,"São Bento do Sul, SC",36,35,40,37,2,,,MEGA_SENA,3,True,0.0,5200465.93,0.0,2841425.78,0.0,0.0,0.0,03,13,17,25,29,51
0,True,17/11/1996,,"['22', '06', '07', '52', '38', '60']",1,"['06', '07', '22', '38', '52', '60']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 47, 'valorPremio': 16848.61}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 3695, 'valorPremio': 214.32}]",,Auditório,"Brasília, DF",37,36,40,38,2,,,MEGA_SENA,3,True,0.0,5833973.58,0.0,3791687.26,0.0,0.0,0.0,06,07,22,38,52,60
0,True,24/11/1996,,"['55', '42', '10', '43', '45', '54']",1,"['10', '42', '43', '45', '54', '55']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 24, 'valorPremio': 38863.1}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 1999, 'valorPremio': 466.59}]",,Auditório,"Brasília, DF",38,37,40,39,2,,,MEGA_SENA,3,True,0.0,6580145.09,0.0,4910944.53,0.0,0.0,0.0,10,42,43,45,54,55
0,True,01/12/1996,,"['16', '37', '45', '52', '56', '12']",1,"['12', '16', '37', '45', '52', '56']",[],"[{'descricaoFaixa': '6 acertos', 'faixa': 1, 'numeroDeGanhadores': 0, 'valorPremio': 0.0}, {'descricaoFaixa': '5 acertos', 'faixa': 2, 'numeroDeGanhadores': 73, 'valorPremio': 13459.05}, {'descricaoFaixa': '4 acertos', 'faixa': 3, 'numeroDeGanhadores': 4444, 'valorPremio': 221.09}]",,Auditório,"Brasília, DF",39,38,40,40,2,,,MEGA_SENA,3,True,0.0,0.0,0.0,13456111.33,0.0,0.0,0.0,12,16,37,45,52,56
